Station_ID,JsID,Species,DBH,TreeTag,TreeNum,TDP,CableNum,CableLength,Depth_mm
St4,Js14,TADI,58.3,322,7,80,13,50,70
St4,Js16,TADI,50.3,392,8,80,14,50,70
St4,Js18,NYAQ,25.7,1315,5,80,15,75,70
St4,Js20,NYAQ,22.3,1317,6,80,16,50,70
St4,Js21,TADI,56.8,384,1,100,17,25,15
St4,Js24,TADI,52.6,391,2,100,18,50,15
St4,Js27,TADI,48.1,390,3,100,19,50,15
St4,Js30,TADI,40.3,319,4,100,20,50,15
St4,Js22,TADI,56.8,384,1,100,17,25,50
St4,Js25,TADI,52.6,391,2,100,18,50,50
St4,Js28,TADI,48.1,390,3,100,19,50,50
St4,Js31,TADI,40.3,319,4,100,20,50,50
St4,Js23,TADI,56.8,384,1,100,17,25,90
St4,Js26,TADI,52.6,391,2,100,18,50,90
St4,Js29,TADI,48.1,390,3,100,19,50,90
St4,Js32,TADI,40.3,319,4,100,20,50,90
St5,Js01,MOCE,9.3,2809,4,10,1,25,5
St5,Js02,MOCE,10.8,2808,2,10,2,25,5
St5,Js03,MOCE,8.2,2806,10,10,3,25,5
St5,Js04,MOCE,8.3,2810,7,10,4,25,5
St5,Js05,MOCE,13.8,2805,5,10,5,50,5
St5,Js06,MOCE,9.2,2802,6,10,6,50,5
St5,Js07,MOCE,7.5,2807,3,10,7,50,5
St5,Js08,MOCE,13.2,2803,9,10,8,50,5
St5,Js09,NYBI,40,2801,1,30,9,25,15
St5,Js10,MOCE,10.8,2808,2,30,10,25,15
St5,Js11,MOCE,13.8,2805,5,30,11,50,15
St5,Js12,NYBI,18.4,2804,8,30,12,50,15
